latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
-41.18230826666666,-72.45907885555556,134.5196,8.73806,364,2023,232875.134
-41.18230825555555,-72.45907884166667,134.5197,8.73819,364,2023,232875.023
-41.18230827222222,-72.45907880555556,134.5109,8.73833,364,2023,232874.805
-41.182308180555545,-72.45907896388889,134.5333,8.73847,364,2023,232874.783
-41.182308174999996,-72.45907891944445,134.5296,8.73861,364,2023,232874.737
-41.182308208333325,-72.45907891666667,134.5244,8.73875,364,2023,232874.771
-41.18230817777778,-72.45907891388889,134.5383,8.73889,364,2023,232874.817
-41.182308194444445,-72.45907893333333,134.5414,8.73903,364,2023,232874.779
-41.18230825833332,-72.45907883611112,134.5061,8.73917,364,2023,232874.609
-41.18230823611111,-72.45907883611112,134.5147,8.73931,364,2023,232874.632
-41.18230824166666,-72.45907886388888,134.5162,8.73944,364,2023,232874.545
-41.182308275,-72.45907883888889,134.5025,8.73958,364,2023,232874.332
-41.18230833333333,-72.45907875,134.4708,8.73972,364,2023,232874.200
-41.18230831111111,-72.45907878611112,134.486,8.73986,364,2023,232874.141
-41.18230829444444,-72.45907878333334,134.4878,8.74000,364,2023,232873.988
-41.182308375,-72.45907871111112,134.4719,8.74014,364,2023,232873.758
-41.18230835833333,-72.4590787,134.4742,8.74028,364,2023,232873.620
-41.18230828333333,-72.45907876944445,134.4882,8.74042,364,2023,232873.696
-41.18230818888888,-72.4590788611111,134.5187,8.74056,364,2023,232873.877
-41.18230818333332,-72.4590788611111,134.5164,8.74069,364,2023,232874.075
-41.18230824999999,-72.45907881666668,134.4828,8.74083,364,2023,232874.221
-41.18230824722222,-72.45907890277778,134.4925,8.74097,364,2023,232874.516
-41.18230832500001,-72.45907873888889,134.4651,8.74111,364,2023,232874.669
-41.18230823611111,-72.45907888055555,134.4996,8.74125,364,2023,232875.042
-41.18230831388888,-72.45907877222223,134.4659,8.74139,364,2023,232875.276
-41.18230826666666,-72.45907885833334,134.4717,8.74153,364,2023,232875.675
-41.18230826388889,-72.45907885,134.4659,8.74167,364,2023,232875.938
-41.1823082861111,-72.45907881666668,134.469,8.74181,364,2023,232876.267
-41.18230841666666,-72.45907856666668,134.4276,8.74194,364,2023,232876.307
-41.18230838888888,-72.459078625,134.4367,8.74208,364,2023,232876.576
-41.182308477777774,-72.45907858888889,134.4125,8.74222,364,2023,232876.830
-41.18230846388889,-72.4590787,134.4219,8.74236,364,2023,232877.127
-41.18230841666666,-72.4590786888889,134.4284,8.74250,364,2023,232877.315
-41.18230836666667,-72.45907868611111,134.4378,8.74264,364,2023,232877.596
-41.18230845277777,-72.45907858333334,134.4192,8.74278,364,2023,232877.697
-41.18230835555555,-72.45907869722222,134.4418,8.74292,364,2023,232877.938
-41.182308327777776,-72.4590787638889,134.4371,8.74306,364,2023,232878.230
-41.1823083861111,-72.45907867777778,134.4155,8.74319,364,2023,232878.365
-41.182308408333334,-72.45907863333333,134.4141,8.74333,364,2023,232878.635
-41.18230828888887,-72.45907873055556,134.456,8.74347,364,2023,232878.973
-41.18230837777777,-72.45907867222222,134.4304,8.74361,364,2023,232879.178
-41.1823083861111,-72.45907873055556,134.4266,8.74375,364,2023,232879.418
-41.18230833888889,-72.45907875,134.4369,8.74389,364,2023,232879.759
-41.182308275,-72.45907875,134.4594,8.74403,364,2023,232880.000
-41.18230833055555,-72.45907867222222,134.4285,8.74417,364,2023,232880.056
-41.18230823888889,-72.45907883333334,134.4469,8.74431,364,2023,232880.311
-41.18230834166666,-72.45907881944444,134.4229,8.74444,364,2023,232880.377
-41.18230832222223,-72.45907878333334,134.4381,8.74458,364,2023,232880.480
-41.182308391666666,-72.45907860277778,134.4115,8.74472,364,2023,232880.439
-41.18230836944444,-72.45907859722223,134.4311,8.74486,364,2023,232880.629
-41.18230832500001,-72.45907871666667,134.4418,8.74500,364,2023,232880.933
-41.18230835555555,-72.45907868055556,134.4236,8.74514,364,2023,232881.140
-41.182308316666656,-72.45907873333333,134.4292,8.74528,364,2023,232881.444
-41.182308327777776,-72.45907884444445,134.4216,8.74542,364,2023,232881.687
-41.18230841944443,-72.45907870277777,134.3966,8.74556,364,2023,232882.022
-41.18230829722222,-72.45907880277778,134.4208,8.74569,364,2023,232882.320
-41.18230832500001,-72.45907873611111,134.4198,8.74583,364,2023,232882.377
-41.18230832222223,-72.45907876944445,134.4327,8.74597,364,2023,232882.483
-41.18230835555555,-72.4590786888889,134.421,8.74611,364,2023,232882.446
-41.18230830277778,-72.45907888333333,134.4508,8.74625,364,2023,232882.448
-41.18230823333333,-72.45907896944445,134.4688,8.74639,364,2023,232882.568
-41.18230826944444,-72.45907890555556,134.4554,8.74653,364,2023,232882.673
-41.182308174999996,-72.45907893611111,134.47,8.74667,364,2023,232882.854
-41.182308363888886,-72.45907878611112,134.4253,8.74681,364,2023,232882.677
-41.18230831388888,-72.45907879722222,134.4372,8.74694,364,2023,232882.718
-41.18230834166666,-72.45907877222223,134.4199,8.74708,364,2023,232882.636
-41.18230831111111,-72.45907879444447,134.4153,8.74722,364,2023,232882.765
-41.18230839999999,-72.45907869722222,134.3976,8.74736,364,2023,232882.725
-41.18230831111111,-72.45907876111112,134.4096,8.74750,364,2023,232882.614
-41.18230835277777,-72.45907874444444,134.3965,8.74764,364,2023,232882.614
-41.18230832222223,-72.4590787638889,134.3992,8.74778,364,2023,232882.630
-41.18230824999999,-72.45907897777778,134.4034,8.74792,364,2023,232882.767
-41.18230830555555,-72.45907872777778,134.4006,8.74806,364,2023,232882.845
-41.18230831388888,-72.45907877500001,134.4074,8.74819,364,2023,232882.986
-41.182308299999995,-72.4590787638889,134.3957,8.74833,364,2023,232883.078
-41.182308413888876,-72.45907855555556,134.3881,8.74847,364,2023,232883.225
-41.18230848055555,-72.45907847222223,134.3803,8.74861,364,2023,232883.493
-41.18230823333333,-72.45907886388888,134.413,8.74875,364,2023,232883.665
-41.18230843888889,-72.45907849444444,134.3926,8.74889,364,2023,232883.752
-41.18230834444444,-72.45907860833336,134.4178,8.74903,364,2023,232884.078
-41.18230837777777,-72.45907858333334,134.4104,8.74917,364,2023,232884.153
-41.18230835833333,-72.45907870277777,134.4232,8.74931,364,2023,232884.244
-41.18230814999999,-72.45907891944445,134.4454,8.74944,364,2023,232884.432
-41.18230811388888,-72.45907895,134.4686,8.74958,364,2023,232884.786
-41.18230814444444,-72.4590788888889,134.4511,8.74972,364,2023,232885.093
-41.18230812777778,-72.45907895,134.4532,8.74986,364,2023,232885.359
-41.182308116666654,-72.45907907222222,134.4458,8.75000,364,2023,232885.590
-41.182308027777765,-72.45907909722223,134.4475,8.75014,364,2023,232885.952
-41.18230803611111,-72.45907906944444,134.4454,8.75028,364,2023,232886.188
-41.18230816111111,-72.45907904166667,134.4222,8.75042,364,2023,232886.397
-41.182308147222216,-72.45907905277778,134.4476,8.75056,364,2023,232886.728
-41.18230806111111,-72.45907902500001,134.4634,8.75069,364,2023,232887.197
-41.182307983333324,-72.45907909722223,134.4772,8.75083,364,2023,232887.543
-41.18230793888888,-72.4590791388889,134.4883,8.75097,364,2023,232887.845
-41.182308013888886,-72.45907911111111,134.4512,8.75111,364,2023,232888.099
-41.1823079861111,-72.45907923333334,134.4488,8.75125,364,2023,232888.514
-41.18230802222223,-72.45907911388889,134.4608,8.75139,364,2023,232888.744
-41.18230799722222,-72.45907913055557,134.4776,8.75153,364,2023,232888.890
-41.18230799166667,-72.45907914166668,134.4739,8.75167,364,2023,232888.997
-41.18230792499999,-72.45907923055556,134.4599,8.75181,364,2023,232888.993
-41.1823078611111,-72.45907924444445,134.4871,8.75194,364,2023,232889.100
-41.18230789444444,-72.4590792138889,134.4939,8.75208,364,2023,232889.082
-41.18230792499999,-72.45907920833334,134.4761,8.75222,364,2023,232888.963
-41.182307908333335,-72.45907924722222,134.467,8.75236,364,2023,232888.920
-41.182307905555554,-72.45907925833333,134.4878,8.75250,364,2023,232888.966
-41.1823079861111,-72.4590791,134.4626,8.75264,364,2023,232888.968
-41.18230806111111,-72.45907905277778,134.4423,8.75278,364,2023,232888.933
-41.182308163888884,-72.45907894166668,134.4056,8.75292,364,2023,232888.888
-41.18230815555556,-72.4590788888889,134.4166,8.75306,364,2023,232888.993
-41.18230821388889,-72.45907893055556,134.4057,8.75319,364,2023,232888.989
-41.182308216666655,-72.45907893055556,134.4017,8.75333,364,2023,232889.049
-41.182308216666655,-72.45907883611112,134.4097,8.75347,364,2023,232889.124
-41.18230818888888,-72.45907880555556,134.4093,8.75361,364,2023,232889.171
-41.182308208333325,-72.45907885833334,134.3873,8.75375,364,2023,232889.139
-41.18230812222221,-72.45907899166667,134.3928,8.75389,364,2023,232889.087
-41.18230819166666,-72.45907894166668,134.3894,8.75403,364,2023,232888.984
-41.18230813611111,-72.45907892222223,134.4069,8.75417,364,2023,232888.956
-41.182308047222214,-72.4590790861111,134.4126,8.75431,364,2023,232888.993
-41.182308047222214,-72.45907905555556,134.4064,8.75444,364,2023,232889.008
-41.18230802499999,-72.4590790638889,134.4128,8.75458,364,2023,232888.971
-41.18230800833333,-72.459079125,134.4205,8.75472,364,2023,232889.091
-41.18230798055555,-72.45907910277778,134.4492,8.75486,364,2023,232889.295
-41.18230801944444,-72.45907906111113,134.4316,8.75500,364,2023,232889.306
-41.18230801666666,-72.45907894444444,134.4089,8.75514,364,2023,232889.202
-41.18230803611111,-72.4590788611111,134.4188,8.75528,364,2023,232889.157
-41.182308066666664,-72.45907895,134.408,8.75542,364,2023,232889.154
-41.18230810277778,-72.45907883888889,134.4014,8.75556,364,2023,232889.204
-41.182308119444436,-72.45907895555555,134.3823,8.75569,364,2023,232889.340
-41.18230814444444,-72.45907885277778,134.3746,8.75583,364,2023,232889.567
-41.18230812222221,-72.4590788,134.4029,8.75597,364,2023,232889.841
-41.18230814999999,-72.45907882222222,134.3822,8.75611,364,2023,232890.043
-41.18230811111111,-72.45907895,134.3779,8.75625,364,2023,232890.237
-41.182308047222214,-72.4590789972222,134.3887,8.75639,364,2023,232890.440
-41.182307983333324,-72.45907889722223,134.4229,8.75653,364,2023,232890.702
-41.18230798888887,-72.45907889722223,134.4356,8.75667,364,2023,232890.860
-41.182307955555544,-72.45907901944445,134.4313,8.75681,364,2023,232890.948
-41.18230789166666,-72.45907925,134.4347,8.75694,364,2023,232890.863
-41.18230784166666,-72.45907920833334,134.4567,8.75708,364,2023,232890.928
-41.18230786944444,-72.45907907222222,134.4517,8.75722,364,2023,232890.859
-41.18230814166667,-72.4590787888889,134.4068,8.75736,364,2023,232890.689
-41.18230801944444,-72.45907898055556,134.4259,8.75750,364,2023,232890.686
-41.182308,-72.45907909444445,134.4109,8.75764,364,2023,232890.715
-41.1823079,-72.45907918055556,134.4426,8.75778,364,2023,232890.905
-41.18230796666666,-72.45907903333334,134.4377,8.75792,364,2023,232891.003
-41.18230806388889,-72.45907895,134.4116,8.75806,364,2023,232891.090
-41.18230799166667,-72.45907915000002,134.3956,8.75819,364,2023,232891.253
-41.18230783888889,-72.45907926666665,134.4288,8.75833,364,2023,232891.535
-41.18230796666666,-72.45907903055556,134.4258,8.75847,364,2023,232891.644
-41.18230811388888,-72.45907879444447,134.4105,8.75861,364,2023,232891.794
-41.18230796666666,-72.45907904444445,134.4399,8.75875,364,2023,232892.080
-41.18230799444445,-72.45907913333332,134.3994,8.75889,364,2023,232892.074
-41.18230781666666,-72.45907918333333,134.477,8.75903,364,2023,232892.341
-41.182307875,-72.45907905,134.4683,8.75917,364,2023,232892.397
-41.182307977777775,-72.45907896666667,134.4463,8.75931,364,2023,232892.425
-41.18230810833333,-72.45907896944445,134.411,8.75944,364,2023,232892.353
-41.18230788888888,-72.4590792,134.447,8.75958,364,2023,232892.427
-41.18230799722222,-72.45907918333333,134.3897,8.75972,364,2023,232892.300
-41.18230785277777,-72.45907931944444,134.4268,8.75986,364,2023,232892.280
-41.18230769722222,-72.45907936666669,134.4596,8.76000,364,2023,232892.341
-41.182307794444434,-72.45907911111111,134.4827,8.76014,364,2023,232892.518
-41.18230783888889,-72.45907903333334,134.4762,8.76028,364,2023,232892.499
-41.18230788333333,-72.45907902222223,134.4655,8.76042,364,2023,232892.507
-41.182307875,-72.45907903333334,134.4617,8.76056,364,2023,232892.699
-41.182307977777775,-72.45907888333333,134.4417,8.76069,364,2023,232892.849
-41.18230802222223,-72.45907876944445,134.4226,8.76083,364,2023,232893.055
-41.182307969444444,-72.45907885,134.436,8.76097,364,2023,232893.311
-41.182307941666664,-72.45907886666666,134.4376,8.76111,364,2023,232893.555
-41.18230795277777,-72.45907888611112,134.4458,8.76125,364,2023,232893.933
-41.18230784722222,-72.45907892500001,134.4877,8.76139,364,2023,232894.257
-41.18230773888889,-72.45907910277778,134.4963,8.76153,364,2023,232894.400
-41.182307875,-72.45907890277778,134.4623,8.76167,364,2023,232894.417
-41.18230788055555,-72.45907897222223,134.4691,8.76181,364,2023,232894.494
-41.182307808333334,-72.45907903888889,134.4812,8.76194,364,2023,232894.581
-41.18230782777776,-72.45907891388889,134.4697,8.76208,364,2023,232894.717
-41.18230781666666,-72.45907893333333,134.4713,8.76222,364,2023,232894.861
-41.182307802777785,-72.45907895,134.4757,8.76236,364,2023,232895.016
-41.18230774444444,-72.45907902500001,134.4969,8.76250,364,2023,232895.151
-41.18230794999999,-72.45907883055555,134.4482,8.76264,364,2023,232895.055
-41.182308027777765,-72.45907865833335,134.4374,8.76278,364,2023,232895.009
-41.18230778333333,-72.45907890000001,134.4762,8.76292,364,2023,232895.012
-41.182307858333324,-72.45907880833333,134.4688,8.76306,364,2023,232895.029
-41.182307824999995,-72.45907875833333,134.458,8.76319,364,2023,232895.046
-41.18230796111109,-72.45907863611112,134.4268,8.76333,364,2023,232894.949
-41.18230820555554,-72.459078575,134.372,8.76347,364,2023,232894.948
-41.18230850833332,-72.45907833888889,134.2335,8.76361,364,2023,232894.670
-41.182308583333324,-72.45907839444445,134.1591,8.76375,364,2023,232894.645
-41.18230866111111,-72.45907828055556,134.1478,8.76389,364,2023,232894.623
-41.182309152777776,-72.45907781944445,133.9942,8.76403,364,2023,232894.283
