rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest
0.0,56.6,0.0717496601745525,POINT (712031.830172744 5432901.325732205),2023-12-30 09:35:28.500,,,,,,,,,,,,0,
1.0,56.5557,0.9085281014129616,POINT (712031.3875520481 5432901.867146291),2023-12-30 09:35:26.500,-41.22766620230239,-72.47050991692629,66.77945,-0.012569767,223955.14,1.0,0.0014156878,68.0,0.0,56.5557,0.9085281014129616,1,28.299790487510826
2.0,56.5484,1.99122972801822,POINT (712030.9119226818 5432902.839580653),2023-12-30 09:35:26.000,,,,,,,,,,,,2,
3.0,56.5922,2.8541340688048873,POINT (712030.5301345473 5432903.613429296),2023-12-30 09:35:26.000,,,,,,,,,,,,3,
4.0,56.634,3.7064136293048042,POINT (712030.0738328502 5432904.3332690075),2023-12-30 09:35:25.000,,,,,,,,,,,,4,
5.0,56.6025,4.681102628536739,POINT (712029.5068657522 5432905.126091153),2023-12-30 09:35:25.000,,,,,,,,,,,,5,
8.0,56.6435,7.987868274997864,POINT (712027.1513255723 5432907.439350636),2023-12-30 09:35:23.000,,,,,,,,,,,,8,
9.0,56.7161,9.091744491763272,POINT (712026.3115783752 5432908.155847214),2023-12-30 09:35:22.000,-41.2273180422918,-72.47018466640645,57.3832,0.10489998,906746.2,3.0,0.0016071688,64.0,0.0,56.7161,9.091744491763272,9,17.893577633337916
10.0,56.6827,10.271720934798624,POINT (712025.3547904275 5432908.846427571),2023-12-30 09:35:22.000,,,,,,,,,,,,10,
11.0,56.617,11.46948357278805,POINT (712024.3536971677 5432909.50403507),2023-12-30 09:35:21.000,,,,,,,,,,,,11,
13.0,56.6688,12.705078958091487,POINT (712023.3970056607 5432910.285979643),2023-12-30 09:35:21.000,-41.22765046152346,-72.4706006187937,57.20104,0.15176019,1259389.5,3.0,0.0014307671,64.0,0.0,56.6688,12.705078958091487,12,32.4723346374005
14.0,56.6552,13.93199502692758,POINT (712022.484780725 5432911.106448233),2023-12-30 09:35:21.000,,,,,,,,,,,,13,
15.0,56.7054,15.123111198572843,POINT (712021.5824927252 5432911.884030447),2023-12-30 09:35:20.000,,,,,,,,,,,,14,
18.0,56.7289,17.526969371413887,POINT (712019.7528591405 5432913.443010808),2023-12-30 09:35:19.000,-41.22712069627105,-72.47015492463049,57.872963,0.26690432,1819094.6,3.0,0.0014469342,64.0,0.0,56.7289,17.526969371413887,16,36.935556794930534
19.0,56.7078,18.78887213103812,POINT (712018.7315947281 5432914.184237882),2023-12-30 09:35:18.000,,,,,,,,,,,,17,
20.0,56.7604,20.06786221861872,POINT (712017.6869292917 5432914.922133382),2023-12-30 09:35:18.000,-41.2276416495696,-72.47065098174346,57.640537,0.23432872,1726406.1,3.0,0.0013337373,64.0,0.0,56.7604,20.06786221861872,18,34.29717712632621
21.0,56.7464,21.454303138734744,POINT (712016.5436410327 5432915.706423113),2023-12-30 09:35:17.000,,,,,,,,,,,,19,
23.0,56.7888,22.82933448527575,POINT (712015.4211478401 5432916.500602083),2023-12-30 09:35:17.000,-41.22746083521372,-72.47052646024599,57.21459,1.0538195,5622896.5,3.0,0.0013867834,64.0,0.0,56.7888,22.82933448527575,20,11.771195105068491
25.0,56.9228,25.248110368502903,POINT (712013.4683552568 5432917.927658923),2023-12-30 09:35:16.000,-41.22710336832682,-72.47025523411423,49.737553,0.03438037,561274.4,2.0,0.0030920145,68.0,0.0,56.9228,25.248110368502903,22,33.8537043346765
26.0,56.9164,26.35318204395265,POINT (712012.5440485862 5432918.533332586),2023-12-30 09:35:16.000,,,,,,,,,,,,23,
