latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
-41.32889979722223,-72.39420095833336,30.8906,8.51042,9,2024,36208.963
-41.328906358333334,-72.39419380833336,30.8815,8.51056,9,2024,36208.916
-41.32891288611112,-72.39418667222225,30.8955,8.51069,9,2024,36208.993
-41.32891942222223,-72.39417946944445,30.8888,8.51083,9,2024,36209.001
-41.32892575555557,-72.3941723638889,30.8927,8.51097,9,2024,36208.837
-41.32893219444445,-72.39416516111113,30.8875,8.51111,9,2024,36208.675
-41.328938927777784,-72.3941577138889,30.8827,8.51125,9,2024,36208.545
-41.328945730555574,-72.39415018611112,30.8741,8.51139,9,2024,36208.525
-41.32895261111112,-72.39414267500003,30.8873,8.51153,9,2024,36208.506
-41.328959494444454,-72.39413520555557,30.8823,8.51167,9,2024,36208.454
-41.328966347222234,-72.39412784166667,30.8838,8.51181,9,2024,36208.512
-41.32897356111112,-72.39412022777779,30.8719,8.51194,9,2024,36208.841
-41.32898070000001,-72.39411256666666,30.8878,8.51208,9,2024,36209.108
-41.32898795555556,-72.39410484444446,30.8774,8.51222,9,2024,36209.267
-41.32899509444445,-72.39409727500004,30.8781,8.51236,9,2024,36209.451
-41.329002216666666,-72.39408975555557,30.89,8.51250,9,2024,36209.460
-41.329009647222236,-72.39408188055558,30.8775,8.51264,9,2024,36209.424
-41.32901721666668,-72.3940740027778,30.8855,8.51278,9,2024,36209.371
-41.32902481666667,-72.39406612222223,30.9,8.51292,9,2024,36209.231
-41.32903237222223,-72.39405835000002,30.8798,8.51306,9,2024,36209.130
-41.32903983333334,-72.39405066111112,30.8854,8.51319,9,2024,36209.068
-41.32904765555556,-72.3940428027778,30.8765,8.51333,9,2024,36209.051
-41.32905548611112,-72.39403489166668,30.8648,8.51347,9,2024,36208.927
-41.329063486111124,-72.39402711111113,30.8745,8.51361,9,2024,36208.889
-41.32907127222224,-72.39401942777779,30.873,8.51375,9,2024,36208.987
-41.32907908333334,-72.39401171388891,30.8908,8.51389,9,2024,36208.979
-41.32908746666667,-72.39400395555556,30.8836,8.51403,9,2024,36209.009
-41.32909585555556,-72.39399620555558,30.8936,8.51417,9,2024,36209.136
-41.32910430555556,-72.39398850555557,30.898,8.51431,9,2024,36209.325
-41.329112475,-72.39398092500001,30.8937,8.51444,9,2024,36209.456
-41.32912085833335,-72.39397336388889,30.9,8.51458,9,2024,36209.481
-41.32912960833334,-72.39396585555556,30.9019,8.51472,9,2024,36209.624
-41.329138286111125,-72.39395831111112,30.9047,8.51486,9,2024,36209.833
-41.32914702222223,-72.39395099444445,30.8933,8.51500,9,2024,36209.838
-41.329155597222226,-72.39394374722222,30.8929,8.51514,9,2024,36209.863
-41.32916425555557,-72.3939366138889,30.8963,8.51528,9,2024,36210.009
