rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest,Height_detrended
10723.0,41.4533,10722.53666190272,POINT (713663.7482408377 5430455.936926479),2024-01-09 05:50:57.000,-41.24903640081219,-72.44998515053703,41.159378,0.90396714,4917888.5,3.0,0.0008208725,8388608.0,0.0,41.4533,10722.53666190272,9685,6.120042724253474,30.765659148132666
10712.0,41.4072,10711.55610652754,POINT (713673.1966185836 5430461.530556713),2024-01-09 05:51:00.000,-41.24883757123326,-72.45000653291595,41.11906,0.4701105,3233262.8,3.0,0.00083907775,8388608.0,0.0,41.4072,10711.55610652754,9678,25.753042127202463,30.730503967992412
10105.0,40.8388,10105.411512706793,POINT (714078.6972641943 5430876.338414938),2024-01-09 05:55:32.000,-41.24512301712389,-72.44520840610755,51.68568,0.032376725,831199.3,1.0,0.0017832903,8388612.0,0.0,40.8388,10105.411512706793,9194,9.122095446588478,30.76627590298559
10090.0,40.7878,10090.360504934632,POINT (714090.2068140836 5430886.0359485885),2024-01-09 05:55:37.000,-41.24509534278322,-72.4450183745671,40.533226,0.23250622,2770388.2,4.0,0.0003516453,8388608.0,0.0,40.7878,10090.360504934632,9182,0.9266284027971762,30.730277928215223
10081.0,40.7641,10080.731400504645,POINT (714097.2156909085 5430892.637388402),2024-01-09 05:55:41.000,-41.24490032472693,-72.44509902516285,48.03439,-0.020232493,554156.75,1.0,0.0011486049,8388612.0,0.0,40.7641,10080.731400504645,9174,20.90901230400596,30.716175695340468
10078.0,40.7597,10078.39807244002,POINT (714098.9123165694 5430894.239222426),2024-01-09 05:55:42.000,-41.24505897124188,-72.44485769037834,49.798965,0.086116165,885215.75,1.0,0.0013543599,8388612.0,0.0,40.7597,10078.39807244002,9172,5.864708996400474,30.714101429738086
10046.0,40.716,10045.693440215471,POINT (714124.2377216106 5430914.889361927),2024-01-09 05:55:58.000,-41.24463783470454,-72.4448114622133,44.55576,-0.051180765,214236.92,5.0,0.0006055544,8388612.0,0.0,40.716,10045.693440215471,9142,27.008683840262105,30.70299962682799
10043.0,40.726,10043.47156991641,POINT (714126.0593220427 5430916.161546589),2024-01-09 05:55:59.000,-41.24498012600469,-72.44442600750278,51.74528,-0.043692805,409110.6,1.0,0.0016442237,8388612.0,0.0,40.726,10043.47156991641,9140,22.795523422278908,30.71521426619221
10039.0,40.737,10039.107761257095,POINT (714129.6804299993 5430918.596365804),2024-01-09 05:56:00.000,-41.24462565679777,-72.4447051540642,49.924862,0.051892363,784187.4,1.0,0.0014119124,8388612.0,0.0,40.737,10039.107761257095,9136,22.853113015283345,30.730563873115237
10018.0,40.741,10018.170963481984,POINT (714147.8020165801 5430929.081791316),2024-01-09 05:56:09.000,-41.24492787693163,-72.44413988509541,49.04433,0.12534758,1061675.6,1.0,0.0011473341,8388612.0,0.0,40.741,10018.170963481984,9118,30.667600837504832,30.755432533420553
9795.0,40.68429999999999,9795.426570364903,POINT (714302.9188143753 5430840.983432939),2024-01-09 05:58:03.000,-41.24539962438184,-72.44228280578471,48.802555,-0.1109812,180318.62,5.0,0.0008477427,8388612.0,0.0,40.68429999999999,9795.426570364903,8917,15.40742845456598,30.920752019151088
9704.0,40.5027,9703.901742959782,POINT (714343.5169995383 5430760.080114821),2024-01-09 05:58:55.000,-41.24614996766469,-72.4419129556893,43.92838,0.045275863,1565982.1,2.0,0.00042006403,8388613.0,0.0,40.5027,9703.901742959782,8834,2.9730273719214835,30.83037898485694
9654.0,40.4744,9654.075172319304,POINT (714362.3818767713 5430713.989314552),2024-01-09 05:59:25.000,-41.24644739252283,-72.44132150258508,40.08642,0.8701643,14841520.0,4.0,0.00018269393,8388609.0,0.0,40.4744,9654.075172319304,8784,34.856779030530355,30.851743398108866
9480.0,40.4345,9480.05653955671,POINT (714436.5376663269 5430556.85344325),2024-01-09 06:01:00.000,-41.24797174506365,-72.44078762992785,38.518845,0.01235696,681766.0,2.0,0.0001690342,8388613.0,0.0,40.4345,9480.05653955671,8622,2.123211951857602,30.98529569835678
9415.0,40.4119,9415.442666121116,POINT (714453.8737157952 5430494.707152064),2024-01-09 06:01:36.000,-41.24844973035066,-72.44007477904097,44.56639,-0.005254389,441420.8,5.0,0.00040124985,8388612.0,0.0,40.4119,9415.442666121116,8562,39.361032825097865,31.02709929007228
9414.0,40.4036,9414.23721667094,POINT (714454.0704682169 5430493.517867884),2024-01-09 06:01:37.000,-41.24852549478024,-72.44048951370769,41.12672,0.11644686,3074740.8,6.0,0.00025285847,8388608.0,0.0,40.4036,9414.23721667094,8561,3.623894160531248,31.020000816464282
9372.0,40.376,9371.552686264313,POINT (714460.9148912792 5430451.397480345),2024-01-09 06:01:54.000,-41.24894432547854,-72.44060716931449,191.01619,-0.06304593,301512.72,1.0,0.29804397,8388612.0,0.0,40.376,9371.552686264313,8527,14.90767569738137,31.034946432795678
9370.0,40.3933,9370.290319705144,POINT (714461.1825524939 5430450.16381637),2024-01-09 06:01:54.000,-41.24888176466876,-72.44022008556914,43.690075,0.017612636,662279.5,5.0,0.00039145185,8388612.0,0.0,40.3933,9370.290319705144,8526,18.26184780091475,31.053504691063594
9352.0,40.3759,9351.76057057326,POINT (714465.9362259075 5430432.260616872),2024-01-09 06:02:02.000,-41.24917101524444,-72.44073681310903,130.19016,0.1535875,705724.8,1.0,0.28181255,8388612.0,0.0,40.3759,9351.76057057326,8511,32.443212747602,31.0545741363116
9205.0,40.3536,9204.888474240326,POINT (714510.6818084955 5430293.956006335),2024-01-09 06:03:12.000,-41.25015268145816,-72.43940863800151,40.155792,1.0501497,21235348.0,4.0,0.00042816892,8388609.0,0.0,40.3536,9204.888474240326,8381,36.38643685201538,31.178668246797084
9120.0,40.2963,9119.52778448668,POINT (714556.9832722843 5430222.515020735),2024-01-09 06:03:46.000,-41.25119818971101,-72.43958289542337,40.040394,0.11242402,2225181.0,3.0,0.0007063674,8388608.0,0.0,40.2963,9119.52778448668,8313,42.12588948874808,31.20645113564335
8992.0,40.26,8992.206644758873,POINT (714639.2978957276 5430126.127028264),2024-01-09 06:04:44.000,-41.2519963874786,-72.43844025719613,40.652424,0.18684947,2043188.5,6.0,0.0009619303,8388608.0,0.0,40.26,8992.206644758873,8203,30.847242099411773,31.29705791686201
8835.0,40.163,8834.942898531008,POINT (714745.6348388975 5430012.160330178),2024-01-09 06:06:19.000,-41.25265991536935,-72.4364869071016,37.50562,0.023154438,770556.44,2.0,0.0006289418,8388612.0,0.0,40.163,8834.942898531008,8046,36.30808612471719,31.35680985828222
