rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest,height_detrended
15292.0,31.1318,15292.48165481748,POINT (716787.384789342 5423037.2645108),2024-01-10 19:53:46.000,-41.314949326287945,-72.41031672899635,31.027744,2.1638188,54719670.0,4.0,4.1933617e-05,0.0,0.0,31.1318,15292.48165481748,14374,22.608448602936495,21.009669032783904
15269.0,31.1892,15268.807041904352,POINT (716780.304831136 5423014.683930488),2024-01-10 19:53:57.000,-41.31516350125032,-72.41039015401873,30.937418,2.887853,74848830.0,4.0,4.159762e-05,0.0,0.0,31.1892,15268.807041904352,14352,22.09841267780697,20.9348522256237
15143.0,31.1063,15142.972473915315,POINT (716781.3041544657 5422890.4722885),2024-01-10 19:54:57.000,-41.3163620688352,-72.41031893846827,31.032934,2.785612,76900820.0,4.0,5.8727743e-05,0.0,0.0,31.1063,15142.972473915315,14236,20.5008761987326,21.112802206192466
15125.0,30.9867,15125.098476907626,POINT (716784.86993735 5422872.964175023),2024-01-10 19:55:08.000,-41.31659302019002,-72.41047299424042,30.873747,0.8094777,28715754.0,3.0,6.523524e-05,0.0,0.0,30.9867,15125.098476907626,14218,39.02139210231116,20.965324426842763
15022.0,31.032400000000003,15021.574784002152,POINT (716833.0378232363 5422781.743724204),2024-01-10 19:56:12.000,-41.31717610523442,-72.4091853593925,30.919617,0.98872435,59002080.0,3.0,7.593259e-05,0.0,0.0,31.032400000000003,15021.574784002152,14115,23.729664306054666,21.07901259656954
14612.0,30.974100000000004,14611.996457204425,POINT (716871.1078735334 5422621.102124496),2024-01-10 20:08:52.000,-41.31856191994316,-72.40899995021374,31.203056,0.5369232,12296094.0,3.0,9.150579e-05,0.0,0.0,30.974100000000004,14611.996457204425,13712,20.042089931182822,21.630765561263033
14532.0,31.0547,14532.023079551993,POINT (716941.3323228242 5422638.902541892),2024-01-10 20:10:13.000,-41.31836641681531,-72.40793076180904,30.899096,1.2118217,45983800.0,3.0,9.73694e-05,1.0,0.0,31.0547,14532.023079551993,13632,23.850781854079408,21.379195965305215
14388.0,31.048266666666663,14387.943092104804,POINT (716902.4856019742 5422538.667256161),2024-01-10 20:18:47.000,-41.31948986699579,-72.4085290015729,31.032856,0.4390493,9984894.0,3.0,0.0001340463,0.0,0.0,31.048266666666663,14387.943092104804,13488,3.589906131594499,21.60734248464864
14195.0,31.1567,14194.968856627287,POINT (716916.2293508181 5422574.12441729),2024-01-10 20:25:19.000,-41.31909491651533,-72.40858721652421,30.946321,0.69822365,19238904.0,3.0,0.00011336137,0.0,0.0,31.1567,14194.968856627287,13295,20.09143455308212,21.64722453071036
14151.0,31.09448,14150.927556940722,POINT (716905.6182986923 5422539.263649682),2024-01-10 20:27:38.000,-41.31966939154501,-72.40840175545986,31.18547,0.19245575,4535534.5,3.0,0.00014790843,0.0,0.0,31.09448,14150.927556940722,13251,24.33109562578513,21.91522490041428
