rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest,height_detrended
10723.0,41.4533,10722.53666190272,POINT (713663.7482408377 5430455.936926479),2024-01-09 05:50:57.000,-41.24903640081219,-72.44998515053703,41.159378,0.90396714,4917888.5,3.0,0.0008208725,8388608.0,0.0,41.4533,10722.53666190272,9685,6.120042724253474,30.701004230210035
10712.0,41.4072,10711.55610652754,POINT (713673.1966185836 5430461.530556713),2024-01-09 05:51:00.000,-41.24883757123326,-72.45000653291595,41.11906,0.4701105,3233262.8,3.0,0.00083907775,8388608.0,0.0,41.4072,10711.55610652754,9678,25.753042127202463,30.671396266084432
10090.0,40.7878,10090.360504934632,POINT (714090.2068140836 5430886.0359485885),2024-01-09 05:55:37.000,-41.24509534278322,-72.4450183745671,40.533226,0.23250622,2770388.2,4.0,0.0003516453,8388608.0,0.0,40.7878,10090.360504934632,9182,0.9266284027971762,30.691453949224208
9654.0,40.4744,9654.075172319304,POINT (714362.3818767713 5430713.989314552),2024-01-09 05:59:25.000,-41.24644739252283,-72.44132150258508,40.08642,0.8701643,14841520.0,4.0,0.00018269393,8388609.0,0.0,40.4744,9654.075172319304,8784,34.856779030530355,30.670184855521764
9414.0,40.4036,9414.23721667094,POINT (714454.0704682169 5430493.517867884),2024-01-09 06:01:37.000,-41.24852549478024,-72.44048951370769,41.12672,0.11644686,3074740.8,6.0,0.00025285847,8388608.0,0.0,40.4036,9414.23721667094,8561,3.623894160531248,31.94441410784738
9205.0,40.3536,9204.888474240326,POINT (714510.6818084955 5430293.956006335),2024-01-09 06:03:12.000,-41.25015268145816,-72.43940863800151,40.155792,1.0501497,21235348.0,4.0,0.00042816892,8388609.0,0.0,40.3536,9204.888474240326,8381,36.38643685201538,31.177677286260785
9120.0,40.2963,9119.52778448668,POINT (714556.9832722843 5430222.515020735),2024-01-09 06:03:46.000,-41.25119818971101,-72.43958289542337,40.040394,0.11242402,2225181.0,3.0,0.0007063674,8388608.0,0.0,40.2963,9119.52778448668,8313,42.12588948874808,31.145537010327388
8992.0,40.26,8992.206644758873,POINT (714639.2978957276 5430126.127028264),2024-01-09 06:04:44.000,-41.2519963874786,-72.43844025719613,40.652424,0.18684947,2043188.5,6.0,0.0009619303,8388608.0,0.0,40.26,8992.206644758873,8203,30.847242099411773,31.881751437021883
8819.0,40.0512,8818.884423658072,POINT (714750.5315992492 5429996.875826789),2024-01-09 06:06:26.000,-41.25286119895178,-72.43651536653408,39.807827,0.96858335,13749564.0,3.0,0.00081477105,8388608.0,0.0,40.0512,8818.884423658072,8031,26.618583533353792,31.206206651813815
8797.0,39.94029999999999,8797.184010636955,POINT (714754.9258994104 5429975.6266560145),2024-01-09 06:06:34.000,-41.25308208831208,-72.43661468517564,39.71298,0.4914632,4186245.8,3.0,0.0008305355,8388608.0,0.0,39.94029999999999,8797.184010636955,8015,12.84336498191335,31.13252544844289
8441.0,39.2654,8440.626761559775,POINT (715039.6420028505 5429899.526302369),2024-01-09 06:10:09.000,-41.25389343401222,-72.43328635012085,39.696373,0.6266426,5095095.0,4.0,0.0005919417,8388608.0,0.0,39.2654,8440.626761559775,7692,19.465700903085377,31.463691470700436
8424.0,39.2751,8423.77351638857,POINT (715056.1195035101 5429903.06168933),2024-01-09 06:10:14.000,-41.25367241434618,-72.43315191123224,39.019043,0.39029375,9183941.0,3.0,0.0005358542,8388608.0,0.0,39.2751,8423.77351638857,7680,1.697740657764262,30.802799515427356
8326.0,39.13,8325.792330982997,POINT (715153.4014230957 5429912.596561765),2024-01-09 06:10:58.000,-41.25366078234437,-72.43197877846126,38.84219,0.4773437,7930511.5,3.0,0.00047286783,8388608.0,0.0,39.13,8325.792330982997,7596,9.552917061062756,30.721513813697307
8190.0,38.8759,8190.009351921044,POINT (715288.8215140386 5429920.939909266),2024-01-09 06:11:44.000,-41.25316422139594,-72.4303710431833,38.401722,0.122122884,1796629.5,4.0,0.00042054793,8388608.0,0.0,38.8759,8190.009351921044,7503,33.29626996843474,30.413483611895842
8172.0,38.8652,8171.936030708182,POINT (715306.8353957477 5429919.494955436),2024-01-09 06:11:50.000,-41.25353142216614,-72.43016153772169,38.659355,0.929519,10705410.0,3.0,0.00044982007,8388608.0,0.0,38.8652,8171.936030708182,7490,6.583283280198585,30.688744674588985
7977.0,38.7891,7977.006721536051,POINT (715487.2963001601 5429851.35201063),2024-01-09 06:13:45.000,-41.253931310392254,-72.42791255436629,38.280464,0.28308025,5375788.0,4.0,0.0004762765,8388608.0,0.0,38.7891,7977.006721536051,7305,13.253559827472026,30.499980660235252
7885.0,38.7013,7885.061662111741,POINT (715563.1043336795 5429799.557382802),2024-01-09 06:14:24.000,-41.2546047660302,-72.42716001990794,38.43644,0.59907687,11440558.0,3.0,0.0005266864,8388608.0,0.0,38.7013,7885.061662111741,7229,15.768942828592596,30.745636539919087
7850.0,38.69649999999999,7850.432288933533,POINT (715592.5345224123 5429781.328816431),2024-01-09 06:14:36.000,-41.254506622585374,-72.42662306656604,38.31264,1.1065502,22082556.0,3.0,0.00052326627,8388608.0,0.0,38.69649999999999,7850.432288933533,7204,16.28433784036814,30.65561277585382
7308.0,37.3202,7307.724715629908,POINT (715904.0982464134 5429455.081191158),2024-01-09 06:18:34.000,-41.25749155135053,-72.42298258008003,36.70765,0.25727305,6286254.5,3.0,0.00057944795,8388608.0,0.0,37.3202,7307.724715629908,6746,9.023476263990258,29.57996007991465
7109.0,36.95,7108.556632950488,POINT (715919.5117548652 5429259.284398213),2024-01-09 06:19:54.000,-41.25925816618569,-72.42266455737132,36.412895,1.688003,31209186.0,3.0,0.00057924207,8388608.0,0.0,36.95,7108.556632950488,6589,3.7011383789415095,29.479466411664127
7018.0,36.9635,7017.6244593046185,POINT (715917.1692543798 5429169.10664058),2024-01-09 06:20:26.000,-41.26006545164401,-72.42264437054257,36.46257,0.62911534,10697890.0,3.0,0.00052407035,8388608.0,0.0,36.9635,7017.6244593046185,6525,2.2593664265304643,29.617833359257727
6739.0,36.8234,6739.023836775024,POINT (715879.6012332349 5428895.186074823),2024-01-09 06:22:36.000,-41.26252880216215,-72.42281095481599,36.346367,1.9190303,52907376.0,3.0,0.0001856639,8388609.0,0.0,36.8234,6739.023836775024,6275,13.266612848901506,29.773367312441867
6667.0,36.7304,6667.064002522708,POINT (715886.40737101 5428823.568453259),2024-01-09 06:23:05.000,-41.26320932660244,-72.42320663886824,36.652294,0.30659187,4400664.0,3.0,0.00019026382,8388608.0,0.0,36.7304,6667.064002522708,6218,29.04517825837264,30.14948132758137
6648.0,36.73,6648.262589804872,POINT (715888.5712161799 5428804.895040858),2024-01-09 06:23:12.000,-41.26334397791512,-72.4228342093063,36.347565,0.2682103,8727154.0,3.0,0.00015519201,8388608.0,0.0,36.73,6648.262589804872,6206,0.4888117758729758,29.86309054434885
6647.0,36.7375,6646.692872025579,POINT (715888.796217368 5428803.34153245),2024-01-09 06:23:12.000,-41.26341693484155,-72.42323328891717,36.628468,0.1844529,2373786.2,3.0,0.00018376466,8388608.0,0.0,36.7375,6646.692872025579,6205,34.64122045081898,30.14552459019803
6606.0,36.6703,6606.098487701189,POINT (715898.2015748858 5428763.927016573),2024-01-09 06:23:26.000,-41.26373276933904,-72.42278388150987,90.44986,1.3040829,4857817.5,3.0,0.0071063926,8388612.0,0.0,36.6703,6606.098487701189,6177,7.316686515631911,84.00651088188532
6598.0,36.6569,6597.910677246973,POINT (715901.1549445391 5428756.29225573),2024-01-09 06:23:29.000,-41.26365351579636,-72.42230949325403,36.230392,0.6675304,26640186.0,4.0,0.000133207,8388608.0,0.0,36.6569,6597.910677246973,6171,32.81170342371584,29.79502897554827
6586.0,36.7045,6585.865939869155,POINT (715906.5854500743 5428745.552955503),2024-01-09 06:23:34.000,-41.263916357781504,-72.42267903244664,90.58001,1.457135,6195486.5,3.0,0.0073890104,8388612.0,0.0,36.7045,6585.865939869155,6162,8.403319647424466,84.15639497599146
6554.0,36.6328,6554.242479742351,POINT (715923.90265781 5428719.109734065),2024-01-09 06:23:45.000,-41.26405222761001,-72.42227259497793,36.288017,0.47148532,17342302.0,3.0,0.00012863285,8388608.0,0.0,36.6328,6554.242479742351,6139,10.899790670209883,29.895246353243657
6478.0,36.6172,6478.356966060789,POINT (715971.1831754615 5428660.832345447),2024-01-09 06:24:19.000,-41.26455819965185,-72.42171355718477,36.969116,0.07087866,2762041.8,6.0,0.00012816042,8388608.0,0.0,36.6172,6478.356966060789,6072,9.705712926859013,30.650361333866417
6418.0,36.5735,6418.064200572256,POINT (716012.410590939 5428616.885545314),2024-01-09 06:24:51.000,-41.264840083840895,-72.42103759978215,36.28444,1.3328295,38450180.0,4.0,0.00013538661,8388608.0,0.0,36.5735,6418.064200572256,6013,27.81147292806919,30.024492712845472
6405.0,36.51625,6405.057874717623,POINT (716020.4083201573 5428606.631846191),2024-01-09 06:24:59.500,-41.26505847065696,-72.42112320290158,36.1893,1.1983848,35790320.0,4.0,0.00013884415,8388608.0,0.0,36.51625,6405.057874717623,6000,6.798093457160239,29.942038611849465
6285.0,36.45,6285.098506354227,POINT (716102.3581981626 5428519.66188147),2024-01-09 06:26:03.000,-41.26590862396945,-72.42022822580378,36.5352,0.1964395,5002545.5,6.0,0.00017290292,8388608.0,0.0,36.45,6285.098506354227,5880,7.092099052568505,30.404942633480825
6244.0,36.397,6244.290863121724,POINT (716137.3672349374 5428523.681422082),2024-01-09 06:26:29.000,-41.26565636410581,-72.41995731602691,36.102783,0.78908044,20909200.0,4.0,0.00018277281,8388608.0,0.0,36.397,6244.290863121724,5839,23.66382485292969,30.012327930180458
6223.0,36.4072,6222.879664626602,POINT (716156.9736682483 5428531.375489197),2024-01-09 06:26:41.500,-41.265578757324,-72.41953285600965,35.861294,1.8192375,50554060.0,3.0,0.00019216916,8388608.0,0.0,36.4072,6222.879664626602,5818,17.526889665148097,29.791722637439463
6214.0,36.355,6214.156160380791,POINT (716165.6721282174 5428531.604032078),2024-01-09 06:26:49.500,-41.26595601152722,-72.41937852725994,36.057922,0.17639546,3089672.8,3.0,0.00022106797,8388608.0,0.0,36.355,6214.156160380791,5809,25.21351808419085,29.99685922741791
6167.0,36.34835,6167.090171642279,POINT (716211.9172090729 5428540.097792869),2024-01-09 06:27:35.500,-41.26547121822599,-72.41894471140517,35.818523,1.5815024,37684416.0,3.0,0.0002052446,8388608.0,0.0,36.34835,6167.090171642279,5762,19.878554357841125,29.803366687576823
6024.0,36.1468,6023.906531845433,POINT (716354.502213672 5428544.5890178345),2024-01-09 06:29:00.000,-41.26534587665262,-72.4171505124562,35.75038,1.3677701,33470020.0,3.0,0.00024060477,8388608.0,0.0,36.1468,6023.906531845433,5619,24.44886938782097,29.87487982212145
6022.0,36.16805,6022.100791330648,POINT (716356.2894995027 5428544.331799473),2024-01-09 06:29:02.000,-41.26554996618016,-72.41715788205136,35.745842,0.64770305,11031214.0,3.0,0.00025165908,8388608.0,0.0,36.16805,6022.100791330648,5617,1.8546575557442249,29.872103075995454
5954.0,36.17954999999999,5953.830825602819,POINT (716421.9601974249 5428526.304558671),2024-01-09 06:29:50.500,-41.265821218186666,-72.41642387951475,36.652122,0.17437264,2760914.8,6.0,0.0002810634,8388609.0,0.0,36.17954999999999,5953.830825602819,5549,13.025013649158312,30.844971127064486
5930.0,36.1863,5930.136731312773,POINT (716443.6405286514 5428516.752392256),2024-01-09 06:30:09.000,-41.26553401057928,-72.41596194555746,35.716328,2.1522694,40441668.0,3.0,0.00028374288,8388608.0,0.0,36.1863,5930.136731312773,5525,31.09994572551418,29.932287488169834
5783.0,36.17085,5783.014354039392,POINT (716568.4434406173 5428439.661131576),2024-01-09 06:32:02.000,-41.26650963098881,-72.41464524769867,35.86482,1.0485618,15902413.0,3.0,0.00040422997,8388608.0,0.0,36.17085,5783.014354039392,5378,7.825568550476717,30.224277324543948
