rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest,height_detrended
4175.0,93.4005,4175.484760782888,POINT (711222.7916687054 5435862.137286537),2023-12-30 09:11:47.000,-41.20114064608343,-72.48080916278633,105.06478,1.4767596,7316649.0,6.0,0.017728308,8388612.0,0.0,93.4005,4175.484760782888,2763,11.866298956275513,64.30849367085645
3333.0,86.2702,3333.495858811302,POINT (710637.0699817014 5435266.245101192),2023-12-30 09:15:51.000,-41.20648126429316,-72.48786871319828,103.78294,0.19933434,1308731.9,6.0,0.013525274,8388612.0,0.0,86.2702,3333.495858811302,2275,18.9723108087538,71.24518223477844
3304.0,86.19590000000001,3303.755194218945,POINT (710619.6177346229 5435242.167208149),2023-12-30 09:16:05.000,-41.2068703889861,-72.48777463800906,155.58066,0.7413175,1515753.6,6.0,0.05958037,8388612.0,0.0,86.19590000000001,3303.755194218945,2247,11.933620068749851,123.3331964428018
1188.0,66.61540000000001,1187.9317917663775,POINT (711258.9182581184 5433678.456291322),2023-12-30 09:28:09.000,-41.22038731307094,-72.47958781284677,66.06344,0.11137339,2201864.0,6.0,0.007870626,8388609.0,0.0,66.61540000000001,1187.9317917663775,810,38.09122214742636,54.468214291250135
1101.0,66.4966,1101.2977022195594,POINT (711334.8891421548 5433637.425905361),2023-12-30 09:28:44.000,-41.220806787690144,-72.47855330680892,66.23459,0.074189946,1324496.5,3.0,0.006768801,8388608.0,0.0,66.4966,1101.2977022195594,740,35.68392940772435,55.484986766656505
1078.0,66.4204,1078.3564550905587,POINT (711348.7092987534 5433619.265507684),2023-12-30 09:28:54.000,-41.221219163612055,-72.47863308552706,66.26794,0.41710174,4951476.5,3.0,0.006183881,8388608.0,0.0,66.4204,1078.3564550905587,720,0.697178937030118,55.74226287112201
1027.0,66.12400000000001,1026.7077056906492,POINT (711372.0207671816 5433573.346180348),2023-12-30 09:29:15.000,-41.2215098434158,-72.4780063998665,66.13429,0.6191027,5574044.0,3.0,0.005414362,8388608.0,0.0,66.12400000000001,1026.7077056906492,678,31.47175102692205,56.112748639705245
974.0,65.3596,973.6871547348908,POINT (711379.6743636129 5433521.029011308),2023-12-30 09:29:32.000,-41.22206393018802,-72.4777490326407,64.91991,1.0563182,2801094.0,6.0,0.005711442,8388608.0,0.0,65.3596,973.6871547348908,643,41.13847295638081,55.41589435944388
366.0,58.2284,366.0372058429221,POINT (711715.7072318336 5433069.9488731185),2023-12-30 09:32:27.000,-41.225860005705336,-72.47402635804104,58.04765,0.45876735,4269486.0,3.0,0.002731706,8388608.0,0.0,58.2284,366.0372058429221,297,23.62642881688942,54.47481522197133
246.0,57.4251,246.2609986615675,POINT (711828.8632278668 5433034.102825698),2023-12-30 09:32:56.000,-41.2264344732226,-72.4727713462243,56.996506,0.07094667,1265422.6,3.0,0.0013347832,8388608.0,0.0,57.4251,246.2609986615675,239,9.307699775452685,54.59278898313563
