latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
-41.248566008333334,-72.44068597777778,41.4677,17.92000,10,2024,-210426.252
-41.24857462777778,-72.440682525,41.4674,17.92014,10,2024,-210426.332
-41.248583205555555,-72.44067890555557,41.4598,17.92028,10,2024,-210426.482
-41.24859183333334,-72.44067533611111,41.4522,17.92042,10,2024,-210426.600
-41.24860035555556,-72.44067172777778,41.4542,17.92056,10,2024,-210426.696
-41.2486088,-72.44066827222223,41.4663,17.92069,10,2024,-210426.680
-41.248617197222224,-72.44066484166667,41.4703,17.92083,10,2024,-210426.696
-41.24862575,-72.44066141111111,41.4758,17.92097,10,2024,-210426.572
-41.24863435277778,-72.44065812777778,41.4624,17.92111,10,2024,-210426.580
-41.24864299722222,-72.44065477500001,41.4535,17.92125,10,2024,-210426.666
-41.24865163611111,-72.44065168055555,41.4482,17.92139,10,2024,-210426.699
-41.248660111111114,-72.44064849444445,41.449,17.92153,10,2024,-210426.668
-41.24866853611111,-72.44064533611113,41.4466,17.92167,10,2024,-210426.744
-41.24867691666667,-72.4406423861111,41.4393,17.92181,10,2024,-210426.954
-41.24868525000001,-72.44063944444444,41.4485,17.92194,10,2024,-210427.149
-41.24869351944445,-72.44063663333334,41.4405,17.92208,10,2024,-210427.260
-41.248701680555556,-72.440633925,41.4286,17.92222,10,2024,-210427.416
-41.2487098611111,-72.44063151388889,41.4517,17.92236,10,2024,-210427.463
-41.248717911111115,-72.44062907777779,41.4508,17.92250,10,2024,-210427.466
-41.24872612222222,-72.44062671111112,41.4552,17.92264,10,2024,-210427.629
-41.24873452777778,-72.44062441666667,41.4443,17.92278,10,2024,-210427.836
-41.2487429138889,-72.44062196666667,41.4618,17.92292,10,2024,-210428.001
-41.24875118333334,-72.44061969166667,41.4446,17.92306,10,2024,-210428.239
-41.24875939444445,-72.44061738333333,41.4503,17.92319,10,2024,-210428.351
-41.24876778888889,-72.44061490833333,41.452,17.92333,10,2024,-210428.594
-41.24877607777778,-72.44061238333333,41.4557,17.92347,10,2024,-210428.664
-41.24878430277778,-72.44060968333334,41.4564,17.92361,10,2024,-210428.649
-41.24879248888889,-72.44060734444444,41.4417,17.92375,10,2024,-210428.622
